customer_id,cust_id,customer_name,segment,region,status,created_at,channel,risk_score,revenue_tier,contact_email,contact_phone
C0000001,CUST-000001,customer_000001,B2C,NORTH,active,5/17/2023,retail_store,0.4154,standard,customer_000001@example.test,33819600133
C0000002,CUST-000002,customer_000002,B2C,SOUTH,active,1/21/2025,partner,0.4286,standard,customer_000002@example.test,33940265423
C0000003,CUST-000003,customer_000003,B2C,NORTH,active,1/6/2024,call_center,0.0327,standard,customer_000003@example.test,33816184959
C0000004,CUST-000004,customer_000004,B2C,METRO,active,8/16/2023,online,0.1079,standard,customer_000004@example.test,33164752553
C0000005,CUST-000005,customer_000005,B2C,METRO,active,6/1/2025,retail_store,0.1889,standard,customer_000005@example.test,33483503056
C0000006,CUST-000006,customer_000006,B2C,CENTER,active,10/7/2023,retail_store,0.3149,standard,customer_000006@example.test,33672423884
C0000007,CUST-000007,customer_000007,B2C,CENTER,active,3/26/2023,retail_store,0.2541,standard,customer_000007@example.test,33122691669
C0000008,CUST-000008,customer_000008,B2C,CENTER,active,1/24/2022,online,0.3443,standard,customer_000008@example.test,33845146270
C0000009,CUST-000009,customer_000009,SME,EAST,suspended,11/5/2024,online,0.4772,standard,customer_000009@example.test,
C0000010,CUST-000010,customer_000010,SME,EAST,active,5/9/2023,online,0.2154,high,customer_000010@example.test,33182278248
C0000011,CUST-000011,customer_000011,B2C,SOUTH,suspended,10/1/2023,partner,0.6686,standard,customer_000011@example.test,33871331509
C0000012,CUST-000012,customer_000012,B2C,NORTH,active,7/16/2025,online,0.3403,standard,customer_000012@example.test,33051834738
C0000013,CUST-000013,customer_000013,SME,CENTER,active,5/13/2023,partner,0.4005,high,customer_000013@example.test,33667010651
C0000014,CUST-000014,customer_000014,B2C,WEST,active,1/11/2023,call_center,0.2162,standard,customer_000014@example.test,33178108013
C0000015,CUST-000015,customer_000015,B2C,SOUTH,active,5/1/2022,retail_store,0,standard,customer_000015@example.test,33746872343
C0000016,CUST-000016,customer_000016,B2C,CENTER,active,10/5/2023,online,0.7905,standard,customer_000016@example.test,33788208121
C0000017,CUST-000017,customer_000017,B2C,SOUTH,active,3/12/2025,retail_store,0.2949,standard,customer_000017@example.test,33998543534
C0000018,CUST-000018,customer_000018,B2C,EAST,active,5/29/2022,online,0.3202,standard,customer_000018@example.test,33911838425
C0000019,CUST-000019,customer_000019,SME,EAST,active,6/16/2024,call_center,0,standard,,33841241182
C0000020,CUST-000020,customer_000020,B2C,METRO,active,11/8/2025,call_center,0,standard,customer_000020@example.test,33401640052
