subscriber_id,subscriber_key,client_id,subscriber_id_alt,msisdn,imsi,plan_id,status,activation_date,churn_date,region
S00000001,SUB-00000001,C0000001,,33419546071,066518082134922,P_PLUS_40,active,2025-06-23,,NORTH
S00000002,SUB-00000002,C9999992,SUBSCR-0000002,33645993844,713337663262554,P_BIZ_200,active,2024-11-24,,NORTH
S00000003,SUB-00000003,C0000001,SUBSCR-0000003,33618295680,964557662914164,P_BASIC_10,active,2025-06-28,,NORTH
S00000004,SUB-00000004,C0000002,SUBSCR-0000004,33725115153,647731351336079,P_PLUS_40,active,2025-02-16,,SOUTH
S00000005,SUB-00000005,C9999990,SUBSCR-0000005,33887886604,098108585311739,P_BASIC_10,active,2024-11-22,,NORTH
S00000006,SUB-00000006,C0000003,SUBSCR-0000006,33355591369,913303545656999,P_PLUS_40,active,2024-01-27,,NORTH
S00000007,SUB-00000007,C0000004,SUBSCR-0000007,33651130583,692318195681721,P_PLUS_40,active,2025-07-03,,METRO
S00000008,SUB-00000008,C9999990,SUBSCR-0000008,33812054684,092210060744061,P_PLUS_40,active,2025-07-27,,METRO
S00000009,SUB-00000009,C9999992,SUBSCR-0000009,33053325600,132898336332674,P_PLUS_40,active,2024-08-19,,METRO
S00000010,SUB-00000010,C0000005,SUBSCR-0000010,33955416610,364721849460466,P_PLUS_40,active,2025-10-25,,METRO
S00000011,SUB-00000011,C0000005,SUBSCR-0000011,33459813401,655562849342654,P_PLUS_40,churned,2025-09-09,2025-11-22,METRO
S00000012,SUB-00000012,C0000006,SUBSCR-0000012,33418740453,409130880126222,P_PLUS_40,active,2025-07-26,,CENTER
S00000013,SUB-00000013,C0000006,SUBSCR-0000013,33168054247,497261618754073,P_PLUS_40,active,2024-08-13,,CENTER
S00000014,SUB-00000014,C0000006,SUBSCR-0000014,33144604556,053809828695711,P_BASIC_10,active,2024-08-20,,CENTER
S00000015,SUB-00000015,C0000007,SUBSCR-0000015,33116877673,685965551713562,P_BASIC_10,active,2024-04-13,,CENTER
S00000016,SUB-00000016,C0000007,SUBSCR-0000016,33713555154,340111762298852,P_BASIC_10,active,2025-04-19,,CENTER
S00000017,SUB-00000017,C0000007,SUBSCR-0000017,33648017393,463932018009696,P_PLUS_40,active,2024-03-21,,CENTER
S00000018,SUB-00000018,C0000008,SUBSCR-0000018,33357615216,420527151752005,P_PLUS_40,active,2023-11-29,,CENTER
S00000019,SUB-00000019,C0000009,SUBSCR-0000019,33066298345,,P_BIZ_200,active,2025-12-12,,EAST
S00000020,SUB-00000020,C0000009,SUBSCR-0000020,33368042724,125084275927288,P_BIZ_200,active,2025-10-27,,EAST
S00000021,SUB-00000021,C0000009,SUBSCR-0000021,33974588160,926177090475622,P_PREMIUM_120,active,2025-07-31,,EAST
S00000022,SUB-00000022,C0000009,SUBSCR-0000022,33171250017,623593862627386,P_PREMIUM_120,active,2024-12-09,,EAST
S00000023,SUB-00000023,C0000010,SUBSCR-0000023,33886071751,895403795052748,P_BASIC_10,active,2023-08-13,,EAST
S00000024,SUB-00000024,C0000010,SUBSCR-0000024,33868929670,392264740930149,P_PREMIUM_120,active,2024-01-11,,EAST
S00000025,SUB-00000025,C9999999,SUBSCR-0000025,33128222549,927888850605201,P_PREMIUM_120,active,2023-07-06,,EAST
S00000026,SUB-00000026,C0000011,SUBSCR-0000026,33877802143,071990540553888,P_BASIC_10,active,2024-02-03,,SOUTH
S00000027,SUB-00000027,C9999996,SUBSCR-0000027,33664963440,675736366785429,P_PLUS_40,suspended,2024-02-06,,SOUTH
S00000028,SUB-00000028,C0000011,SUBSCR-0000028,33546791512,010786674696265,P_BASIC_10,active,2025-09-16,,SOUTH
S00000029,SUB-00000029,C9999992,SUBSCR-0000029,33644766333,704004663871079,P_PLUS_40,active,2025-12-27,,NORTH
S00000030,SUB-00000030,C0000012,SUBSCR-0000030,33691091433,897518595195200,P_PLUS_40,active,2025-12-10,,NORTH
S00000031,SUB-00000031,C0000012,SUBSCR-0000031,33707490565,931528029037738,P_PLUS_40,active,2025-09-29,,NORTH
S00000032,SUB-00000032,C0000013,SUBSCR-0000032,33290064527,559057500879427,P_BASIC_10,active,2023-12-25,,CENTER
S00000033,SUB-00000033,C0000013,SUBSCR-0000033,33972806060,443353840917594,P_BIZ_200,suspended,2023-08-10,,CENTER
S00000034,SUB-00000034,C0000013,SUBSCR-0000034,33890860910,496020559650551,P_PREMIUM_120,active,2025-10-07,,CENTER
S00000035,SUB-00000035,C9999998,SUBSCR-0000035,33686583798,324283294148468,P_PLUS_40,active,2025-02-04,,WEST
S00000036,SUB-00000036,C0000014,SUBSCR-0000036,33036776750,391041708693997,P_PLUS_40,churned,2023-04-06,2025-07-19,WEST
S00000037,SUB-00000037,C0000015,SUBSCR-0000037,33874233931,660861340687434,P_BASIC_10,active,2024-11-08,,SOUTH
S00000038,SUB-00000038,C0000015,SUBSCR-0000038,33980754359,412522929385206,P_PLUS_40,active,2024-05-03,,SOUTH
S00000039,SUB-00000039,C0000016,SUBSCR-0000039,33299133689,,P_PLUS_40,active,2024-05-20,,CENTER
S00000040,SUB-00000040,C0000017,SUBSCR-0000040,33089912850,075320206258231,P_BIZ_200,churned,2025-05-21,2025-12-11,SOUTH
S00000041,SUB-00000041,C0000017,SUBSCR-0000041,33577171771,655405163035211,P_PREMIUM_120,active,2025-04-28,,SOUTH
S00000042,SUB-00000042,C0000017,SUBSCR-0000042,33766389981,725190265793324,P_BASIC_10,active,2025-11-25,,SOUTH
S00000043,SUB-00000043,C9999999,SUBSCR-0000043,33994616919,360631231244136,P_PLUS_40,active,2022-10-03,,EAST
S00000044,SUB-00000044,C0000019,SUBSCR-0000044,33115178947,374670704390607,P_BIZ_200,active,2025-09-05,,EAST
S00000045,SUB-00000045,C0000019,SUBSCR-0000045,33109809570,387706714029349,P_BIZ_200,active,2025-03-25,,EAST
S00000046,SUB-00000046,C9999997,SUBSCR-0000046,33966964345,146748138525577,P_PREMIUM_120,active,2025-02-20,,EAST
S00000047,SUB-00000047,C0000019,SUBSCR-0000047,33014541892,202384610567553,P_PLUS_40,suspended,2024-10-14,,EAST
S00000048,SUB-00000048,C9999995,SUBSCR-0000048,33236806915,762804925636694,P_PLUS_40,suspended,2025-12-21,,METRO
S00000049,SUB-00000049,C0000021,SUBSCR-0000049,33417870121,070868768939441,P_BIZ_200,active,2025-08-27,,METRO
S00000050,SUB-00000050,C0000021,SUBSCR-0000050,33625987239,974676741628907,P_BASIC_10,churned,2025-01-02,2025-10-16,METRO
S00000051,SUB-00000051,C0000021,SUBSCR-0000051,33574815743,023183567045661,P_BASIC_10,active,2024-08-05,,METRO
S00000052,SUB-00000052,C0000022,SUBSCR-0000052,33412575301,010152549268388,P_PLUS_40,active,2025-10-28,,NORTH
S00000053,SUB-00000053,C0000023,SUBSCR-0000053,33248526521,815143727017921,P_PREMIUM_120,active,2025-01-11,,EAST
S00000054,SUB-00000054,C0000023,SUBSCR-0000054,33132206187,445083889951526,P_PLUS_40,churned,2024-04-26,2025-05-12,EAST
S00000055,SUB-00000055,C0000024,SUBSCR-0000055,33847285814,908656691438859,P_PLUS_40,active,2023-10-23,,EAST
S00000056,SUB-00000056,c0000025,SUBSCR-0000056,33393732388,212185738310363,P_PLUS_40,active,2024-05-22,,NORTH
